iter	Passed	Remaining
0	1	169
1	3	163
2	5	175
3	6	167
4	8	163
5	9	154
6	11	148
7	12	144
8	13	139
9	15	135
10	16	131
11	17	128
12	18	126
13	20	128
14	22	126
15	23	124
16	24	121
17	26	120
18	27	117
19	28	115
20	30	113
21	31	111
22	32	109
23	34	108
24	35	106
25	36	104
26	38	103
27	39	101
28	40	99
29	41	97
30	43	96
31	44	94
32	45	93
33	47	91
34	48	90
35	50	89
36	51	88
37	53	86
38	54	85
39	55	83
40	57	82
41	57	79
42	59	78
43	60	76
44	61	75
45	63	74
46	64	73
47	66	71
48	67	70
49	68	68
50	70	67
51	71	65
52	72	64
53	73	63
54	74	61
55	76	59
56	77	58
57	79	57
58	80	56
59	82	54
60	83	53
61	85	52
62	86	50
63	87	49
64	88	47
65	90	46
66	91	45
67	93	43
68	94	42
69	96	41
70	97	39
71	98	38
72	100	37
73	101	35
74	102	34
75	103	32
76	105	31
77	106	30
78	107	28
79	109	27
80	110	25
81	112	24
82	113	23
83	114	21
84	116	20
85	117	19
86	118	17
87	119	16
88	121	14
89	122	13
90	123	12
91	125	10
92	126	9
93	128	8
94	129	6
95	130	5
96	131	4
97	133	2
98	134	1
99	136	0
